!CSV A.01.01
!Keysight Technologies,N5227B,US58420762,A.13.80.08
!Date: Monday, November 20, 2023 14:29:09
!Source: Standard

BEGIN CH1_DATA
Time(s),S21(DB),S21(DEG)
1e-008,-112.79269,-103.94781
1.001e-008,-112.73211,-93.146729
1.002e-008,-112.63593,-82.021904
1.003e-008,-112.51797,-70.521347
1.004e-008,-112.3928,-58.620224
1.005e-008,-112.2739,-46.312862
1.006e-008,-112.17344,-33.607697
1.007e-008,-112.10209,-20.524817
1.008e-008,-112.06841,-7.0823345
1.009e-008,-112.08087,6.6934566
1.01e-008,-112.14652,20.785843
1.011e-008,-112.27225,35.177368
1.012e-008,-112.46505,49.860165
1.013e-008,-112.73244,64.831558
1.014e-008,-113.08294,80.101898
1.015e-008,-113.52663,95.691795
1.016e-008,-114.07594,111.64338
1.017e-008,-114.74648,128.02626
1.018e-008,-115.5582,144.95615
1.019e-008,-116.53625,162.6214
1.02e-008,-117.71266,-178.65697
1.021e-008,-119.12256,-158.31065
1.022e-008,-120.78664,-135.30855
1.023e-008,-122.63593,-107.82549
1.024e-008,-124.27753,-73.439011
1.025e-008,-124.77409,-32.720695
1.026e-008,-123.63581,6.5084577
1.027e-008,-121.69799,38.5326
1.028e-008,-119.741,64.474518
1.029e-008,-118.01319,86.716331
1.03e-008,-116.53947,106.78998
1.031e-008,-115.29059,125.5421
1.032e-008,-114.23356,143.45111
1.033e-008,-113.33888,160.78998
1.034e-008,-112.58475,177.72525
1.035e-008,-111.95425,-165.63528
1.036e-008,-111.43494,-149.22374
1.037e-008,-111.01763,-132.99431
1.038e-008,-110.69596,-116.9185
1.039e-008,-110.46549,-100.97723
1.04e-008,-110.32398,-85.16008
1.041e-008,-110.27063,-69.46357
1.042e-008,-110.30653,-53.892143
1.043e-008,-110.43438,-38.454742
1.044e-008,-110.65919,-23.171942
1.045e-008,-110.98771,-8.0708494
1.046e-008,-111.43016,6.8022976
1.047e-008,-111.99995,21.378853
1.048e-008,-112.71608,35.556427
1.049e-008,-113.60361,49.167217
1.05e-008,-114.6964,61.933426
1.051e-008,-116.03741,73.367996
1.052e-008,-117.67183,82.559425
1.053e-008,-119.59799,87.757004
1.054e-008,-121.56232,85.961487
1.055e-008,-122.59516,75.413002
1.056e-008,-121.65064,63.698147
1.057e-008,-119.51144,60.174652
1.058e-008,-117.29477,64.255035
1.059e-008,-115.3518,72.780167
1.06e-008,-113.70769,83.77507
1.061e-008,-112.32025,96.208374
1.062e-008,-111.14465,109.53059
1.063e-008,-110.14479,123.432
1.064e-008,-109.29411,137.72409
1.065e-008,-108.57234,152.29128
1.066e-008,-107.96446,167.05281
1.067e-008,-107.45955,-178.04366
1.068e-008,-107.04955,-163.03882
1.069e-008,-106.72858,-147.96289
1.07e-008,-106.49279,-132.83978
1.071e-008,-106.33974,-117.68984
1.072e-008,-106.26862,-102.53178
1.073e-008,-106.27976,-87.38224
1.074e-008,-106.37513,-72.259109
1.075e-008,-106.55802,-57.183239
1.076e-008,-106.83344,-42.178135
1.077e-008,-107.20866,-27.273741
1.078e-008,-107.69327,-12.508876
1.079e-008,-108.30051,2.0610123
1.08e-008,-109.04823,16.357092
1.081e-008,-109.96063,30.25864
1.082e-008,-111.0712,43.567467
1.083e-008,-112.4258,55.94643
1.084e-008,-114.08577,66.770332
1.085e-008,-116.11779,74.784142
1.086e-008,-118.50994,77.380722
1.087e-008,-120.75403,70.126038
1.088e-008,-121.20562,53.741585
1.089e-008,-119.38557,42.808975
1.09e-008,-117.01787,42.812229
1.091e-008,-114.95048,49.486229
1.092e-008,-113.28314,59.592327
1.093e-008,-111.96156,71.553749
1.094e-008,-110.92657,84.599358
1.095e-008,-110.13449,98.322739
1.096e-008,-109.55696,112.49306
1.097e-008,-109.17829,126.97355
1.098e-008,-108.99333,141.67534
1.099e-008,-109.00723,156.5424
1.1e-008,-109.23664,171.53677
1.101e-008,-109.71406,-173.36342
1.102e-008,-110.49695,-158.16745
1.103e-008,-111.68749,-142.86227
1.104e-008,-113.48245,-127.39847
1.105e-008,-116.32757,-111.58654
1.106e-008,-121.62724,-94.470596
1.107e-008,-143.62646,-14.005647
1.108e-008,-121.04083,107.56607
1.109e-008,-114.44884,124.80626
1.11e-008,-110.45782,140.57895
1.111e-008,-107.54294,155.95953
1.112e-008,-105.23015,171.15369
1.113e-008,-103.30885,-173.77902
1.114e-008,-101.66677,-158.81723
1.115e-008,-100.23691,-143.95714
1.116e-008,-98.975891,-129.20267
1.117e-008,-97.853882,-114.56242
1.118e-008,-96.849594,-100.04807
1.119e-008,-95.946999,-85.675049
1.12e-008,-95.133621,-71.461418
1.121e-008,-94.399277,-57.428333
1.122e-008,-93.735359,-43.599743
1.123e-008,-93.133995,-30.003386
1.124e-008,-92.587631,-16.669525
1.125e-008,-92.088425,-3.631489
1.126e-008,-91.627846,9.0770149
1.127e-008,-91.196075,21.422394
1.128e-008,-90.781715,33.37566
1.129e-008,-90.371452,44.917152
1.13e-008,-89.950119,56.043381
1.131e-008,-89.501312,66.774323
1.132e-008,-89.008461,77.15995
1.133e-008,-88.456779,87.283371
1.134e-008,-87.835289,97.257378
1.135e-008,-87.138718,107.21353
1.136e-008,-86.368309,117.28607
1.137e-008,-85.531296,127.59471
1.138e-008,-84.639343,138.23181
1.139e-008,-83.706337,149.25691
1.14e-008,-82.746391,160.69817
1.141e-008,-81.772446,172.55804
1.142e-008,-80.795471,-175.17906
1.143e-008,-79.824242,-162.54007
1.144e-008,-78.865417,-149.55737
1.145e-008,-77.923866,-136.2652
1.146e-008,-77.002968,-122.69704
1.147e-008,-76.104958,-108.88413
1.148e-008,-75.231201,-94.854927
1.149e-008,-74.382408,-80.634842
1.15e-008,-73.55883,-66.246315
1.151e-008,-72.760406,-51.708988
1.152e-008,-71.986816,-37.040043
1.153e-008,-71.237602,-22.254377
1.154e-008,-70.512215,-7.3650179
1.155e-008,-69.810043,7.6167164
1.156e-008,-69.130424,22.680984
1.157e-008,-68.472717,37.819157
1.158e-008,-67.836258,53.023712
1.159e-008,-67.220413,68.288017
1.16e-008,-66.62455,83.606285
1.161e-008,-66.048073,98.973381
1.162e-008,-65.49041,114.38477
1.163e-008,-64.951019,129.83644
1.164e-008,-64.429367,145.3248
1.165e-008,-63.924969,160.84669
1.166e-008,-63.437351,176.39926
1.167e-008,-62.96608,-168.02003
1.168e-008,-62.510731,-152.4135
1.169e-008,-62.070908,-136.7832
1.17e-008,-61.646248,-121.13099
1.171e-008,-61.236393,-105.45855
1.172e-008,-60.841015,-89.767426
1.173e-008,-60.459801,-74.059013
1.174e-008,-60.092453,-58.334572
1.175e-008,-59.738697,-42.595264
1.176e-008,-59.39827,-26.842155
1.177e-008,-59.07093,-11.076225
1.178e-008,-58.756435,4.7016444
1.179e-008,-58.454571,20.490608
1.18e-008,-58.165134,36.289921
1.181e-008,-57.88792,52.098862
1.182e-008,-57.622757,67.916779
1.183e-008,-57.369465,83.743065
1.184e-008,-57.127884,99.577148
1.185e-008,-56.897861,115.4185
1.186e-008,-56.679253,131.26663
1.187e-008,-56.47192,147.12108
1.188e-008,-56.275742,162.98138
1.189e-008,-56.090599,178.84717
1.19e-008,-55.916378,-165.28197
1.191e-008,-55.752979,-149.40642
1.192e-008,-55.600304,-133.52649
1.193e-008,-55.458263,-117.64252
1.194e-008,-55.326771,-101.75485
1.195e-008,-55.205757,-85.863762
1.196e-008,-55.095146,-69.969543
1.197e-008,-54.994873,-54.072475
1.198e-008,-54.904881,-38.17281
1.199e-008,-54.825119,-22.270826
1.2e-008,-54.755535,-6.3667574
1.201e-008,-54.696087,9.5391436
1.202e-008,-54.64674,25.446657
1.203e-008,-54.60746,41.355541
1.204e-008,-54.57822,57.265575
1.205e-008,-54.558998,73.176537
1.206e-008,-54.549782,89.088196
1.207e-008,-54.550552,105.00035
1.208e-008,-54.561302,120.91278
1.209e-008,-54.582031,136.82524
1.21e-008,-54.612743,152.73758
1.211e-008,-54.653442,168.64954
1.212e-008,-54.70414,-175.43912
1.213e-008,-54.764854,-159.52858
1.214e-008,-54.835606,-143.61908
1.215e-008,-54.916416,-127.71085
1.216e-008,-55.007324,-111.80412
1.217e-008,-55.108356,-95.899132
1.218e-008,-55.219563,-79.99614
1.219e-008,-55.340984,-64.09539
1.22e-008,-55.472672,-48.197147
1.221e-008,-55.614685,-32.301697
1.222e-008,-55.767082,-16.409313
1.223e-008,-55.929932,-0.52030003
1.224e-008,-56.103306,15.365022
1.225e-008,-56.287285,31.246334
1.226e-008,-56.481953,47.12328
1.227e-008,-56.687397,62.995491
1.228e-008,-56.903721,78.862579
1.229e-008,-57.131023,94.724144
1.23e-008,-57.369415,110.57972
1.231e-008,-57.619015,126.42885
1.232e-008,-57.879948,142.27103
1.233e-008,-58.15234,158.10571
1.234e-008,-58.436337,173.93233
1.235e-008,-58.732082,-170.24976
1.236e-008,-59.039738,-154.44122
1.237e-008,-59.359459,-138.64278
1.238e-008,-59.691418,-122.85523
1.239e-008,-60.035805,-107.07941
1.24e-008,-60.392803,-91.316292
1.241e-008,-60.762615,-75.566864
1.242e-008,-61.145454,-59.832241
1.243e-008,-61.541538,-44.113636
1.244e-008,-61.951096,-28.41239
1.245e-008,-62.374367,-12.72996
1.246e-008,-62.8116,2.9320428
1.247e-008,-63.263062,18.571838
1.248e-008,-63.729015,34.187473
1.249e-008,-64.20974,49.776772
1.25e-008,-64.705521,65.337341
1.251e-008,-65.216652,80.866493
1.252e-008,-65.743423,96.361259
1.253e-008,-66.286148,111.81835
1.254e-008,-66.845108,127.23405
1.255e-008,-67.420601,142.60426
1.256e-008,-68.012909,157.92436
1.257e-008,-68.622284,173.18919
1.258e-008,-69.248962,-171.60703
1.259e-008,-69.893135,-156.47073
1.26e-008,-70.554924,-141.40915
1.261e-008,-71.234383,-126.43037
1.262e-008,-71.93145,-111.54337
1.263e-008,-72.645935,-96.758156
1.264e-008,-73.377449,-82.085739
1.265e-008,-74.125374,-67.538269
1.266e-008,-74.888809,-53.128876
1.267e-008,-75.666466,-38.871578
1.268e-008,-76.456596,-24.781143
1.269e-008,-77.256897,-10.872539
1.27e-008,-78.064407,2.8396635
1.271e-008,-78.875412,16.342236
1.272e-008,-79.685356,29.624706
1.273e-008,-80.488823,42.680939
1.274e-008,-81.279617,55.511284
1.275e-008,-82.050903,68.124756
1.276e-008,-82.795502,80.54113
1.277e-008,-83.506432,92.792435
1.278e-008,-84.177437,104.92323
1.279e-008,-84.803658,116.98929
1.28e-008,-85.382195,129.05464
1.281e-008,-85.912415,141.18692
1.282e-008,-86.396088,153.4523
1.283e-008,-86.837036,165.91051
1.284e-008,-87.2407,178.61093
1.285e-008,-87.613426,-168.40889
1.286e-008,-87.961929,-155.12419
1.287e-008,-88.292633,-141.52171
1.288e-008,-88.611389,-127.59774
1.289e-008,-88.92318,-113.35609
1.29e-008,-89.232025,-98.806519
1.291e-008,-89.541023,-83.962677
1.292e-008,-89.852341,-68.840714
1.293e-008,-90.167381,-53.458939
1.294e-008,-90.486847,-37.836643
1.295e-008,-90.81089,-21.994551
1.296e-008,-91.139259,-5.9542303
1.297e-008,-91.471367,10.261978
1.298e-008,-91.806473,26.630192
