!CSV A.01.01
!Keysight Technologies,N5227B,US58420762,A.13.80.08
!Date: Monday, November 20, 2023 14:26:47
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
3000000000,-54.04739,23.763283
3003000000,-53.912613,11.322631
3006000000,-53.766579,-2.2746394
3009000000,-53.665634,-16.277893
3012000000,-53.619949,-29.672903
3015000000,-53.635384,-43.170124
3018000000,-53.594616,-55.926033
3021000000,-53.472359,-68.343918
3024000000,-53.392193,-82.870491
3027000000,-53.416195,-97.450958
3030000000,-53.42128,-110.7758
3033000000,-53.436062,-123.77199
3036000000,-53.447628,-136.48027
3039000000,-53.424259,-150.92015
3042000000,-53.464603,-164.54768
3045000000,-53.552616,-178.41032
3048000000,-53.704353,167.79704
3051000000,-53.920189,154.21825
3054000000,-54.031689,141.62993
3057000000,-54.174797,128.61029
3060000000,-54.275471,116.85265
3063000000,-54.136177,105.0958
3066000000,-54.1642,91.038223
3069000000,-54.347595,77.449944
3072000000,-54.416519,65.289726
3075000000,-54.431335,53.843231
3078000000,-54.382713,40.492809
3081000000,-54.293587,28.47431
3084000000,-54.234371,15.889527
3087000000,-54.110924,1.835126
3090000000,-54.250507,-10.730267
3093000000,-54.373318,-24.882618
3096000000,-54.386261,-35.60405
3099000000,-54.451256,-47.128807
3102000000,-54.290165,-60.476109
3105000000,-54.119045,-72.734695
3108000000,-54.00869,-85.726814
3111000000,-53.858822,-99.320168
3114000000,-53.835949,-113.03413
3117000000,-53.843712,-126.32687
3120000000,-53.936264,-138.57959
3123000000,-53.755219,-151.26263
3126000000,-53.690056,-164.90892
3129000000,-53.821735,-177.74905
3132000000,-53.699413,168.5954
3135000000,-53.716049,154.98247
3138000000,-53.903095,141.66426
3141000000,-53.77784,129.20316
3144000000,-53.711182,117.0767
3147000000,-53.635818,103.37019
3150000000,-53.641724,89.811684
3153000000,-53.619293,77.167084
3156000000,-53.570431,63.918945
3159000000,-53.623123,50.370991
3162000000,-53.586826,37.196892
3165000000,-53.409309,24.412886
3168000000,-53.37495,10.34506
3171000000,-53.335205,-3.6539075
3174000000,-53.538612,-17.560289
3177000000,-53.566135,-31.141012
3180000000,-53.812157,-44.415447
3183000000,-53.814869,-56.209389
3186000000,-53.740002,-68.442024
3189000000,-53.757114,-81.702393
3192000000,-53.865963,-95.988602
3195000000,-53.980244,-109.58941
3198000000,-54.13488,-121.98126
3201000000,-54.32827,-133.97105
3204000000,-54.243603,-145.70151
3207000000,-54.033516,-157.89064
3210000000,-53.921207,-171.06172
3213000000,-54.011116,174.66335
3216000000,-54.153854,162.56097
3219000000,-54.173569,149.28444
3222000000,-54.287216,138.2099
3225000000,-54.055882,125.58778
3228000000,-54.144188,113.00751
3231000000,-54.057003,100.51543
3234000000,-53.816387,86.800674
3237000000,-53.783905,73.102898
3240000000,-53.7952,59.285652
3243000000,-53.905865,46.331791
3246000000,-53.962273,33.222485
3249000000,-53.904781,20.681395
3252000000,-53.901115,7.9903116
3255000000,-53.821468,-4.5870838
3258000000,-53.74897,-18.553356
3261000000,-53.75174,-31.860811
3264000000,-54.045467,-44.45116
3267000000,-54.087013,-57.619873
3270000000,-54.089825,-68.854271
3273000000,-53.970623,-81.104965
3276000000,-53.889122,-93.512001
3279000000,-53.74477,-107.79106
3282000000,-53.652809,-121.18684
3285000000,-53.790112,-133.43471
3288000000,-53.732155,-146.74176
3291000000,-53.63269,-159.74837
3294000000,-53.574715,-172.49806
3297000000,-53.585838,174.36371
3300000000,-53.517349,161.32951
3303000000,-53.477333,147.58939
3306000000,-53.327034,135.06964
3309000000,-53.324074,121.08167
3312000000,-53.435341,106.83241
3315000000,-53.495842,93.719055
3318000000,-53.59618,81.071487
3321000000,-53.521732,69.038498
3324000000,-53.440178,55.387741
3327000000,-53.333866,41.434509
3330000000,-53.599102,26.947704
3333000000,-53.741379,14.832699
3336000000,-53.851521,2.565182
3339000000,-53.852127,-8.9964056
3342000000,-53.687016,-21.242664
3345000000,-53.411533,-34.415936
3348000000,-53.47345,-48.132557
3351000000,-53.613457,-63.140892
3354000000,-53.699482,-75.856331
3357000000,-53.967876,-88.464447
3360000000,-54.098965,-100.06708
3363000000,-53.980179,-111.77916
3366000000,-53.654564,-124.33813
3369000000,-53.618137,-137.93843
3372000000,-53.485035,-152.41548
3375000000,-53.732929,-166.33519
3378000000,-53.972328,-177.79587
3381000000,-53.947289,170.84874
3384000000,-53.744698,159.09293
3387000000,-53.569221,146.08415
3390000000,-53.238308,132.82268
3393000000,-53.30407,118.71451
3396000000,-53.365765,104.64133
