!CSV A.01.01
!Keysight Technologies,N5227B,US58420762,A.13.80.08
!Date: Monday, November 20, 2023 14:47:55
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
3000000000,-55.252804,-45.722153
3003000000,-55.161701,-60.091976
3006000000,-55.145073,-75.319458
3009000000,-55.106182,-89.940971
3012000000,-55.035805,-104.96661
3015000000,-55.025356,-119.33868
3018000000,-54.944527,-133.50989
3021000000,-54.878353,-148.06261
3024000000,-54.763573,-162.83669
3027000000,-54.690571,-178.15712
3030000000,-54.654495,166.57072
3033000000,-54.66721,151.27734
3036000000,-54.537064,136.58989
3039000000,-54.579834,121.28802
3042000000,-54.405415,107.20832
3045000000,-54.466869,91.20475
3048000000,-54.443581,77.054466
3051000000,-54.307003,61.85754
3054000000,-54.269779,47.069706
3057000000,-54.207779,30.88168
3060000000,-54.255363,15.480974
3063000000,-54.240723,0.7395888
3066000000,-54.234303,-13.850194
3069000000,-54.134953,-29.828945
3072000000,-54.087666,-43.700569
3075000000,-54.101078,-58.958263
3078000000,-53.939274,-74.625099
3081000000,-53.883385,-90.566856
3084000000,-53.894985,-106.64766
3087000000,-54.161583,-123.304
3090000000,-54.216145,-138.16626
3093000000,-54.338829,-152.89812
3096000000,-54.41814,-166.96036
3099000000,-54.456169,178.16757
3102000000,-54.499088,162.64302
3105000000,-54.778648,147.91724
3108000000,-54.832687,133.62039
3111000000,-54.934357,119.30712
3114000000,-55.027012,104.82359
3117000000,-55.020611,91.1623
3120000000,-54.912262,77.249123
3123000000,-54.864967,62.823185
3126000000,-54.717232,48.075348
3129000000,-54.818531,33.16304
3132000000,-54.570827,18.022686
3135000000,-54.430126,3.6873617
3138000000,-54.487629,-10.668028
3141000000,-54.477093,-26.013552
3144000000,-54.359516,-41.49625
3147000000,-54.411808,-57.312092
3150000000,-54.313465,-72.529007
3153000000,-54.498611,-87.226082
3156000000,-54.423615,-101.9338
3159000000,-54.530697,-117.33405
3162000000,-54.606701,-131.95937
3165000000,-54.596649,-146.51787
3168000000,-54.536888,-160.75613
3171000000,-54.491207,-176.04744
3174000000,-54.517727,168.83253
3177000000,-54.602055,153.91171
3180000000,-54.598091,140.75439
3183000000,-54.545055,125.31078
3186000000,-54.416012,111.57314
3189000000,-54.26516,95.63588
3192000000,-54.182426,80.129944
3195000000,-54.196522,64.937096
3198000000,-54.198734,49.943539
3201000000,-54.142498,35.642067
3204000000,-54.192528,19.333797
3207000000,-54.140213,4.0718765
3210000000,-54.067719,-10.613192
3213000000,-54.223709,-25.497902
3216000000,-54.165989,-41.573357
3219000000,-54.156254,-57.431816
3222000000,-54.293579,-72.244263
3225000000,-54.549137,-86.99411
3228000000,-54.675598,-102.01926
3231000000,-54.815132,-114.40928
3234000000,-54.595745,-128.68091
3237000000,-54.499062,-142.97679
3240000000,-54.614922,-158.43594
3243000000,-54.667519,-173.99309
3246000000,-54.663937,172.7128
3249000000,-54.521526,158.33582
3252000000,-54.476059,144.20552
3255000000,-54.46862,129.59395
3258000000,-54.299873,114.62854
3261000000,-54.230907,99.710129
3264000000,-54.2076,84.584877
3267000000,-54.265945,67.847221
3270000000,-54.447533,52.486469
3273000000,-54.43594,38.363956
3276000000,-54.445454,24.01263
3279000000,-54.429661,9.9134731
3282000000,-54.286453,-5.5020409
3285000000,-54.318085,-20.608564
3288000000,-54.420002,-35.928474
3291000000,-54.425774,-50.130371
3294000000,-54.525944,-63.707912
3297000000,-54.567394,-78.582008
3300000000,-54.427349,-92.335167
3303000000,-54.057289,-106.47559
3306000000,-53.92741,-121.32017
3309000000,-53.610382,-137.27553
3312000000,-53.652775,-153.92282
3315000000,-53.560444,-169.25346
3318000000,-53.757481,175.12227
3321000000,-53.819942,158.92403
3324000000,-53.79158,144.48969
3327000000,-53.782017,128.73766
3330000000,-53.937878,113.11945
3333000000,-53.846149,98.442207
3336000000,-54.241798,83.25074
3339000000,-54.213768,69.139954
3342000000,-54.206505,53.841072
3345000000,-54.405659,38.014202
3348000000,-54.606491,23.827621
3351000000,-54.646282,11.184937
3354000000,-54.731228,-2.6085608
3357000000,-54.384232,-16.991072
3360000000,-54.176136,-31.705555
3363000000,-54.264324,-47.87196
3366000000,-54.279774,-62.60619
3369000000,-54.405243,-78.048904
3372000000,-54.438225,-92.480782
3375000000,-54.348736,-105.91351
3378000000,-54.367374,-120.30398
3381000000,-54.231804,-135.29953
3384000000,-54.034714,-150.46494
3387000000,-54.11071,-166.20197
3390000000,-54.140442,178.94756
3393000000,-54.138954,163.35368
3396000000,-54.276749,149.86739
3399000000,-54.328033,136.38808
3402000000,-54.148911,123.52705
3405000000,-53.760689,107.99407
3408000000,-53.681366,91.071182
3411000000,-53.83617,75.593849
3414000000,-53.848789,59.681622
3417000000,-53.869442,45.498409
3420000000,-53.884319,31.667919
3423000000,-53.809628,17.713017
3426000000,-53.633778,3.0052683
3429000000,-53.453972,-13.83567
3432000000,-53.515415,-29.68556
3435000000,-53.544704,-44.575958
3438000000,-53.476387,-60.792667
3441000000,-53.769096,-76.608429
3444000000,-54.000431,-90.647675
3447000000,-53.790398,-104.53456
3450000000,-53.694954,-119.88057
3453000000,-53.709343,-134.96242
3456000000,-53.775139,-151.19539
3459000000,-53.905399,-165.53117
3462000000,-53.857143,179.07404
3465000000,-53.995014,163.93636
3468000000,-54.26741,150.3119
3471000000,-54.121365,135.29832
3474000000,-54.127102,121.54858
3477000000,-54.045738,106.63498
3480000000,-54.23801,93.436165
3483000000,-54.063873,77.528015
3486000000,-54.140961,62.143841
3489000000,-54.10553,47.760567
3492000000,-53.955112,33.851875
3495000000,-53.991985,18.960791
3498000000,-53.938225,3.6056094
3501000000,-53.909176,-10.572464
3504000000,-53.775982,-25.001301
3507000000,-53.723133,-40.865131
3510000000,-53.717327,-56.364681
3513000000,-53.915863,-71.349281
3516000000,-53.86628,-85.432144
3519000000,-53.962318,-100.69889
3522000000,-53.997284,-115.21636
3525000000,-53.727455,-128.91341
3528000000,-53.677006,-144.45763
3531000000,-53.566635,-159.25729
3534000000,-53.782207,-175.14885
3537000000,-53.597401,170.64061
3540000000,-53.523712,156.19629
3543000000,-53.38546,140.56058
3546000000,-53.277973,124.51796
3549000000,-53.424507,108.91602
3552000000,-53.493683,92.887268
3555000000,-53.555168,78.086861
3558000000,-53.665119,63.656811
3561000000,-53.613728,48.249859
3564000000,-53.548058,32.653858
3567000000,-53.758358,17.089321
3570000000,-53.865814,2.4184752
3573000000,-54.10239,-12.609426
3576000000,-54.186794,-26.279423
3579000000,-54.277878,-40.30851
3582000000,-54.16621,-53.548756
3585000000,-54.099754,-68.385849
3588000000,-54.066864,-83.14402
3591000000,-54.083717,-97.725853
3594000000,-53.931416,-113.17406
3597000000,-53.963501,-127.45419
3600000000,-53.963722,-142.32193
3603000000,-54.026489,-155.2868
3606000000,-53.778664,-170.24254
3609000000,-53.763424,175.10239
3612000000,-53.710251,159.74066
3615000000,-53.562557,144.88979
3618000000,-53.415436,128.85957
3621000000,-53.618298,112.85616
3624000000,-53.762012,97.091393
3627000000,-53.782421,83.090424
3630000000,-53.786732,69.023361
3633000000,-53.774609,54.310169
3636000000,-53.592411,39.706028
3639000000,-53.427177,23.996981
3642000000,-53.429356,7.3558459
3645000000,-53.522427,-8.0385799
3648000000,-53.766605,-21.563398
3651000000,-53.885181,-35.342937
3654000000,-53.759521,-50.808414
3657000000,-53.682457,-65.047905
3660000000,-53.524826,-80.285889
3663000000,-53.44854,-95.658089
3666000000,-53.477173,-110.69568
3669000000,-53.652733,-126.46446
3672000000,-53.622051,-141.26318
3675000000,-53.720833,-157.50856
3678000000,-53.793522,-170.70331
3681000000,-53.703739,175.49438
3684000000,-53.508316,160.2747
3687000000,-53.377037,144.89291
3690000000,-53.487293,128.46751
3693000000,-53.541168,112.13719
3696000000,-53.810234,97.325958
3699000000,-54.025616,84.025261
3702000000,-54.149914,70.365479
3705000000,-54.112198,56.011887
3708000000,-54.041576,42.251244
3711000000,-53.786751,26.655109
3714000000,-53.758572,11.210031
3717000000,-53.829536,-3.9556
3720000000,-54.091488,-19.176497
3723000000,-53.984535,-32.99202
3726000000,-54.067226,-45.967369
3729000000,-53.872417,-60.055592
3732000000,-53.792557,-75.078049
3735000000,-53.413399,-91.679527
3738000000,-53.562557,-107.57196
3741000000,-53.607525,-122.62965
3744000000,-53.581497,-137.92291
3747000000,-53.644394,-152.43567
3750000000,-53.661251,-166.91072
3753000000,-53.622551,178.60115
3756000000,-53.676872,162.8544
3759000000,-53.652508,148.63419
3762000000,-53.578037,132.8499
3765000000,-53.614445,117.54421
3768000000,-53.829941,102.70383
3771000000,-53.887627,87.780243
3774000000,-53.9151,73.750778
3777000000,-53.682121,60.255192
3780000000,-53.654568,44.813965
3783000000,-53.752148,29.849884
3786000000,-53.700825,14.551392
3789000000,-53.905552,-0.30072096
3792000000,-53.810871,-14.91593
3795000000,-53.731064,-30.347166
3798000000,-53.788605,-44.915661
3801000000,-53.80595,-59.950695
3804000000,-53.898952,-74.617882
3807000000,-54.020618,-89.093124
3810000000,-53.798046,-103.21351
3813000000,-53.753315,-119.2057
3816000000,-53.731709,-134.1093
3819000000,-53.780483,-149.83759
3822000000,-53.778271,-163.59822
3825000000,-53.846554,-179.08945
3828000000,-53.918972,166.87744
3831000000,-53.901169,152.22998
3834000000,-53.832405,139.53503
3837000000,-53.548462,123.17115
3840000000,-53.552116,106.87206
3843000000,-53.67247,91.236504
3846000000,-53.819244,76.433044
3849000000,-54.03075,63.158432
3852000000,-53.95116,49.290195
3855000000,-53.741535,35.220066
3858000000,-53.38456,19.875229
3861000000,-53.546654,4.0073576
3864000000,-53.621311,-12.608674
3867000000,-53.612179,-26.611027
3870000000,-53.699474,-41.323402
3873000000,-53.687805,-56.680759
3876000000,-53.893726,-70.704422
3879000000,-53.837368,-84.963524
3882000000,-53.648514,-99.553604
3885000000,-53.324066,-115.43016
3888000000,-53.365971,-130.98999
3891000000,-53.360905,-147.41859
3894000000,-53.588467,-162.74413
3897000000,-53.677853,-176.53889
3900000000,-53.72509,169.21576
3903000000,-53.676781,154.25291
3906000000,-53.609169,140.64659
3909000000,-53.62236,125.43846
3912000000,-53.557098,111.15733
3915000000,-53.455086,94.855812
3918000000,-53.508022,79.389168
3921000000,-53.635475,64.716919
3924000000,-53.795704,48.886269
3927000000,-53.865608,34.737301
3930000000,-53.856155,21.556524
3933000000,-53.614689,6.9662075
3936000000,-53.459381,-7.7183828
3939000000,-53.471062,-23.982176
3942000000,-53.510117,-39.235657
3945000000,-53.583431,-54.494793
3948000000,-53.6465,-68.194244
3951000000,-53.653328,-83.831764
3954000000,-53.492531,-98.418564
3957000000,-53.47057,-113.87209
3960000000,-53.432297,-129.67352
3963000000,-53.605995,-144.92786
3966000000,-53.573895,-159.36043
3969000000,-53.703415,-175.21153
3972000000,-53.813042,171.88005
3975000000,-53.753704,156.93799
3978000000,-53.877792,142.57213
3981000000,-53.640957,128.02081
3984000000,-53.687164,112.6318
3987000000,-53.648293,97.179367
3990000000,-53.581631,81.890472
3993000000,-53.789215,67.446983
3996000000,-53.675163,52.11895
3999000000,-53.740364,38.198318
4002000000,-53.712048,23.786848
4005000000,-53.683697,7.8671041
4008000000,-53.612865,-8.1597471
4011000000,-53.765213,-22.064505
4014000000,-53.803417,-36.540615
4017000000,-53.720467,-51.709061
4020000000,-53.671429,-66.008659
4023000000,-53.836361,-80.397934
4026000000,-53.69833,-96.206139
4029000000,-53.631004,-111.28732
4032000000,-53.744392,-125.04667
4035000000,-53.786079,-139.65587
4038000000,-53.682217,-154.8018
4041000000,-53.559273,-170.53049
4044000000,-53.472305,174.61963
4047000000,-53.57848,159.15742
4050000000,-53.747795,143.16269
4053000000,-53.686081,129.54764
4056000000,-53.756939,115.66659
4059000000,-53.735291,100.07764
4062000000,-53.717667,85.440498
4065000000,-53.612221,71.123055
4068000000,-53.75547,56.302063
4071000000,-53.674995,40.375118
4074000000,-53.792263,26.710567
4077000000,-53.763565,11.00596
4080000000,-53.550671,-4.3397083
4083000000,-53.663837,-18.463726
4086000000,-53.578262,-32.775059
4089000000,-53.572678,-48.429459
4092000000,-53.565956,-61.580582
4095000000,-53.437965,-78.136749
4098000000,-53.536564,-93.140472
4101000000,-53.574135,-109.19156
4104000000,-53.576088,-124.42715
4107000000,-53.686028,-139.84709
4110000000,-53.671951,-154.62827
4113000000,-53.672119,-169.64615
4116000000,-53.63636,176.36501
4119000000,-53.585835,161.01433
4122000000,-53.632092,145.91473
4125000000,-53.747131,130.47983
4128000000,-53.900612,116.40351
4131000000,-53.875214,101.51826
4134000000,-54.094822,87.839783
4137000000,-54.050594,72.923553
4140000000,-53.888386,57.196121
4143000000,-53.97192,43.154072
4146000000,-53.904915,27.822689
4149000000,-53.874146,13.918406
4152000000,-53.800339,-1.5252813
4155000000,-53.912628,-16.41754
4158000000,-53.780956,-31.418631
4161000000,-54.016403,-46.836018
4164000000,-53.668362,-61.167274
4167000000,-53.572552,-76.847412
4170000000,-53.80669,-92.043419
4173000000,-53.807312,-107.51724
4176000000,-53.888489,-121.38588
4179000000,-54.066204,-135.44064
4182000000,-53.768806,-150.31717
4185000000,-53.855827,-165.4223
4188000000,-53.713058,-179.81999
4191000000,-53.774586,162.94
4194000000,-54.056957,148.39018
4197000000,-54.094868,133.65027
4200000000,-54.123123,119.34531
4203000000,-54.061546,106.41548
4206000000,-53.915524,91.583824
4209000000,-53.742062,76.768257
4212000000,-53.49744,61.228329
4215000000,-53.613426,45.023735
4218000000,-53.731125,29.098301
4221000000,-53.965034,14.755439
4224000000,-53.967793,1.411262
4227000000,-53.856796,-13.9189
4230000000,-53.80481,-28.76502
4233000000,-53.748569,-44.767139
4236000000,-53.657875,-60.794838
4239000000,-53.910995,-74.936134
4242000000,-53.981773,-90.278976
4245000000,-54.098248,-103.93124
4248000000,-53.78672,-119.07647
4251000000,-53.974663,-133.04578
4254000000,-53.90028,-148.87181
4257000000,-53.946178,-163.65099
4260000000,-53.959515,-178.9847
4263000000,-54.011806,166.01471
4266000000,-53.975513,150.93584
4269000000,-54.060711,135.51993
4272000000,-54.11377,122.66499
4275000000,-53.900829,107.91934
4278000000,-53.788471,92.622581
4281000000,-53.926315,77.055374
4284000000,-53.861324,61.722385
4287000000,-54.01992,46.258045
4290000000,-54.01582,31.066864
4293000000,-54.116386,16.741053
4296000000,-54.080185,3.2080185
4299000000,-53.869389,-11.428839
4302000000,-53.870762,-25.367752
4305000000,-53.657185,-42.473454
4308000000,-53.895397,-60.390812
4311000000,-54.129879,-74.743301
4314000000,-54.231701,-88.058556
4317000000,-54.421322,-102.80132
4320000000,-54.361629,-115.34768
4323000000,-54.058502,-131.61519
4326000000,-53.901371,-146.02023
4329000000,-53.841152,-161.90749
4332000000,-53.993244,-178.81223
4335000000,-54.245129,165.72325
4338000000,-54.442017,151.75203
4341000000,-54.536003,138.56487
4344000000,-54.196999,125.11061
4347000000,-54.193333,110.80626
4350000000,-54.014114,94.930328
4353000000,-53.925026,78.892235
4356000000,-53.966904,63.572369
4359000000,-54.309956,47.9235
4362000000,-54.580505,34.040844
4365000000,-54.563808,19.533752
4368000000,-54.39502,5.7971873
4371000000,-54.313782,-8.3637037
4374000000,-54.1064,-24.568338
4377000000,-54.194019,-40.014416
4380000000,-54.319374,-55.641754
4383000000,-54.500214,-70.04985
4386000000,-54.432564,-84.650871
4389000000,-54.556759,-97.926018
4392000000,-54.424477,-112.43373
4395000000,-54.10471,-126.71236
4398000000,-53.98827,-141.63907
4401000000,-53.905003,-158.08856
4404000000,-54.013035,-175.12495
4407000000,-54.080486,169.64003
4410000000,-54.379818,155.0889
4413000000,-54.357414,140.90015
4416000000,-54.291702,127.17857
4419000000,-54.213505,112.75182
4422000000,-54.012436,96.963379
4425000000,-54.105347,80.563614
4428000000,-54.170872,65.063622
4431000000,-54.284035,50.133598
4434000000,-54.346237,36.651016
4437000000,-54.377407,21.218933
4440000000,-54.452118,6.7957358
4443000000,-54.255104,-8.7408895
4446000000,-54.349701,-24.82007
4449000000,-54.260174,-39.112095
4452000000,-54.42622,-55.047661
4455000000,-54.387047,-68.803101
4458000000,-54.50946,-83.889023
4461000000,-54.575657,-99.486443
4464000000,-54.654049,-114.78542
4467000000,-54.584431,-128.25577
4470000000,-54.551765,-143.17984
4473000000,-54.526592,-159.00627
4476000000,-54.560249,-174.13219
4479000000,-54.759651,170.5536
4482000000,-54.954918,156.39682
4485000000,-55.042088,141.54126
4488000000,-54.904858,128.80795
4491000000,-54.984123,114.55717
4494000000,-54.790474,99.184303
4497000000,-54.87878,84.222565
4500000000,-54.83847,68.906677
4503000000,-55.073055,55.039181
4506000000,-54.905003,40.219139
4509000000,-55.115017,27.030668
4512000000,-54.916901,11.264816
4515000000,-54.797066,-3.6704161
4518000000,-54.787952,-20.259666
4521000000,-54.603222,-34.165825
4524000000,-54.790016,-48.630112
4527000000,-54.774601,-64.306793
4530000000,-54.879082,-79.806709
4533000000,-54.843948,-94.079865
4536000000,-55.103973,-110.48787
4539000000,-54.930149,-121.68163
4542000000,-54.822269,-137.14592
4545000000,-54.753105,-152.41167
4548000000,-54.710587,-167.96925
4551000000,-54.766239,178.02353
4554000000,-54.687912,161.93974
4557000000,-54.813816,147.56873
4560000000,-54.753159,131.5927
4563000000,-54.8442,117.48798
4566000000,-54.897003,102.47173
4569000000,-54.718697,86.589821
4572000000,-54.592064,71.759888
4575000000,-54.645012,56.680523
4578000000,-54.784771,41.639202
4581000000,-54.588833,26.239128
4584000000,-54.882912,12.109883
4587000000,-54.897453,-2.0727141
4590000000,-54.834106,-18.122921
4593000000,-54.900154,-32.962879
4596000000,-54.850414,-48.669506
4599000000,-54.906799,-61.442547
4602000000,-55.015499,-78.152596
4605000000,-54.966965,-91.798134
4608000000,-54.93293,-107.25592
4611000000,-54.902058,-122.20589
4614000000,-54.912354,-137.18478
4617000000,-54.971039,-152.20753
4620000000,-55.003887,-167.68306
4623000000,-55.291508,176.96243
4626000000,-55.081051,163.58728
4629000000,-54.973843,148.37114
4632000000,-54.819878,133.50749
4635000000,-54.910049,116.91274
4638000000,-54.990768,102.47895
4641000000,-55.271961,88.658859
4644000000,-55.2644,73.832108
4647000000,-55.168076,58.983532
4650000000,-55.292919,43.901306
4653000000,-55.202515,29.418411
4656000000,-55.507839,14.918665
4659000000,-55.32093,-0.20803805
4662000000,-55.446838,-12.983868
4665000000,-55.318474,-28.716732
4668000000,-55.344757,-42.878048
4671000000,-55.110455,-57.127934
4674000000,-55.067574,-71.937592
4677000000,-55.014809,-87.700508
4680000000,-55.151157,-102.87424
4683000000,-54.908802,-117.96048
4686000000,-55.221539,-133.61415
4689000000,-55.211277,-148.63022
4692000000,-55.309998,-162.48965
4695000000,-55.266842,-176.42706
4698000000,-55.037125,166.64925
4701000000,-55.117641,151.14128
4704000000,-55.150909,135.40001
4707000000,-55.000374,120.56713
4710000000,-55.202206,106.90798
4713000000,-55.292324,91.641701
4716000000,-55.254936,76.503326
4719000000,-55.297302,62.064285
4722000000,-55.245377,47.772476
4725000000,-55.535416,33.282009
4728000000,-55.266396,19.320845
4731000000,-55.107895,3.5093212
4734000000,-55.195442,-11.970371
4737000000,-55.358295,-27.643492
4740000000,-55.693348,-40.143658
4743000000,-55.478642,-55.562672
4746000000,-55.199551,-69.598747
4749000000,-55.182659,-83.987122
4752000000,-54.954933,-99.816505
4755000000,-55.089207,-116.06168
4758000000,-55.283928,-132.19237
4761000000,-55.302189,-145.97931
4764000000,-55.37571,-160.27968
4767000000,-55.408226,-175.81462
4770000000,-55.583771,169.54106
4773000000,-55.624969,155.2224
4776000000,-55.267387,140.11388
4779000000,-55.281906,125.32964
4782000000,-55.479225,109.14639
4785000000,-55.45023,95.945595
4788000000,-55.406059,80.995834
4791000000,-55.43375,66.377785
4794000000,-55.369442,52.021954
4797000000,-55.077965,35.909569
4800000000,-55.079762,21.43701
4803000000,-55.302879,4.9334621
4806000000,-55.119934,-9.8076754
4809000000,-55.360977,-26.297884
4812000000,-55.331142,-40.693501
4815000000,-55.386742,-54.532642
4818000000,-55.538208,-68.864609
4821000000,-55.478027,-83.160431
4824000000,-55.32275,-97.5858
4827000000,-55.289639,-114.05638
4830000000,-55.239578,-129.55591
4833000000,-55.34269,-145.17233
4836000000,-55.528774,-161.11859
4839000000,-55.580246,-176.28642
4842000000,-55.656624,170.99109
4845000000,-55.566471,155.82097
4848000000,-55.632832,141.98302
4851000000,-55.676296,126.44033
4854000000,-55.682392,111.02623
4857000000,-55.772888,95.924706
4860000000,-56.008781,81.511101
4863000000,-55.936852,67.332809
4866000000,-55.852055,54.047199
4869000000,-55.912041,38.836254
4872000000,-55.811047,24.498127
4875000000,-55.781242,8.8100252
4878000000,-55.505295,-5.9378071
4881000000,-55.530334,-20.487175
4884000000,-55.643547,-36.370853
4887000000,-55.697197,-50.317276
4890000000,-55.790443,-65.550743
4893000000,-55.696991,-79.967537
4896000000,-55.741791,-95.022339
4899000000,-55.707123,-108.5189
4902000000,-55.505577,-124.68481
4905000000,-55.452374,-139.88705
4908000000,-55.590832,-156.67924
4911000000,-55.649021,-171.03162
4914000000,-55.848888,175.86389
4917000000,-55.590916,161.13663
4920000000,-55.748154,145.69766
4923000000,-55.705601,130.31371
4926000000,-55.636852,114.63265
4929000000,-55.608223,101.40255
4932000000,-55.574017,84.867409
4935000000,-55.725182,70.466377
4938000000,-55.86145,55.683903
4941000000,-55.827957,42.633801
4944000000,-55.670628,27.38652
4947000000,-55.466473,12.613274
4950000000,-55.186657,-2.6330094
4953000000,-55.342976,-20.69157
4956000000,-55.480782,-36.293812
4959000000,-55.631214,-49.925018
4962000000,-56.004723,-63.639874
4965000000,-55.964035,-79.158546
4968000000,-55.605473,-93.355179
4971000000,-55.77943,-110.41824
4974000000,-55.892551,-124.39899
4977000000,-55.841248,-139.21094
4980000000,-55.94524,-153.86478
4983000000,-55.878719,-167.76302
4986000000,-55.906853,176.22939
4989000000,-55.915268,162.04935
4992000000,-56.075424,146.42593
4995000000,-55.969711,132.95711
4998000000,-55.98439,120.12262
5001000000,-55.952095,102.34614
5004000000,-56.029964,89.008812
5007000000,-56.049282,72.480362
5010000000,-56.201736,58.156868
5013000000,-55.99918,44.361603
5016000000,-56.015945,30.74415
5019000000,-55.860523,15.655786
5022000000,-55.907108,-0.17603761
5025000000,-55.781414,-13.560546
5028000000,-55.694561,-30.251396
5031000000,-56.006893,-45.927307
5034000000,-55.685368,-62.187248
5037000000,-56.029888,-75.712181
5040000000,-55.848057,-92.503441
5043000000,-56.041225,-104.76809
5046000000,-56.040501,-120.17852
5049000000,-55.956535,-134.65932
5052000000,-55.995022,-149.05768
5055000000,-55.770275,-165.21655
5058000000,-56.169468,179.36003
5061000000,-56.133526,165.39722
5064000000,-56.155624,149.80197
5067000000,-56.02985,136.79034
5070000000,-55.575134,120.60165
5073000000,-55.763988,106.24355
5076000000,-55.715816,91.094093
5079000000,-55.825359,73.139603
5082000000,-55.674732,58.145161
5085000000,-56.065735,44.082111
5088000000,-55.986866,29.897589
5091000000,-56.057449,14.57973
5094000000,-56.05838,-0.24007925
5097000000,-56.018017,-15.138095
5100000000,-56.035221,-30.135334
5103000000,-55.778831,-45.443474
5106000000,-55.895195,-59.937218
5109000000,-55.945675,-72.926353
5112000000,-56.07082,-89.75322
5115000000,-56.089127,-104.40211
5118000000,-55.862526,-119.1557
