!CSV A.01.01
!Keysight Technologies,N5227B,US58420762,A.13.80.08
!Date: Monday, November 20, 2023 15:53:14
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
3000000000,-58.289307,47.59441
3003000000,-58.44413,31.465183
3006000000,-58.287014,15.243728
3009000000,-58.371494,-2.122709
3012000000,-58.420055,-16.883171
3015000000,-58.57061,-33.302406
3018000000,-58.497368,-49.546532
3021000000,-58.530144,-65.117279
3024000000,-58.487045,-82.10611
3027000000,-58.675301,-97.397705
3030000000,-58.583725,-114.16164
3033000000,-58.66061,-129.48251
3036000000,-58.619053,-145.81053
3039000000,-58.646366,-161.26852
3042000000,-58.679958,-176.71118
3045000000,-58.633553,166.3287
3048000000,-58.736042,150.68892
3051000000,-58.770531,134.77185
3054000000,-58.921352,119.61501
3057000000,-58.924164,103.38934
3060000000,-58.991886,88.596611
3063000000,-58.852192,72.799324
3066000000,-58.600136,57.228233
3069000000,-58.667114,42.03553
3072000000,-58.559937,25.191805
3075000000,-58.558674,10.864941
3078000000,-58.731804,-7.1212187
3081000000,-58.724449,-22.718632
3084000000,-58.77269,-38.722256
3087000000,-58.834671,-55.083767
3090000000,-58.794945,-71.269547
3093000000,-58.834244,-86.511078
3096000000,-58.964642,-102.63885
3099000000,-58.750896,-117.44122
3102000000,-58.790653,-132.7363
3105000000,-58.847363,-148.38004
3108000000,-58.719284,-163.97101
3111000000,-59.011993,-179.64864
3114000000,-58.910233,166.12987
3117000000,-58.807835,150.62143
3120000000,-58.825417,134.99442
3123000000,-58.39996,119.29217
3126000000,-58.207893,102.11391
3129000000,-58.292439,85.293732
3132000000,-58.058014,69.385162
3135000000,-58.227558,53.4044
3138000000,-58.349144,37.683929
3141000000,-58.195686,21.709723
3144000000,-58.237984,5.7834849
3147000000,-58.155182,-10.830349
3150000000,-58.279366,-27.761488
3153000000,-58.186691,-43.091084
3156000000,-58.118584,-59.907234
3159000000,-58.223152,-77.302696
3162000000,-58.574905,-93.468704
3165000000,-58.789799,-108.21329
3168000000,-58.89595,-122.3703
3171000000,-58.755688,-137.43817
3174000000,-58.480621,-152.94739
3177000000,-58.160049,-168.89613
3180000000,-58.336266,174.32697
3183000000,-58.39064,158.45036
3186000000,-58.541576,142.75385
3189000000,-58.523819,128.44424
3192000000,-58.443478,113.10532
3195000000,-58.168938,97.447044
3198000000,-58.183743,80.090065
3201000000,-58.120285,63.464588
3204000000,-58.118046,46.589859
3207000000,-58.10054,31.157537
3210000000,-58.252953,15.654548
3213000000,-58.140835,-2.445991
3216000000,-58.066669,-16.899918
3219000000,-58.120255,-34.125511
3222000000,-58.125557,-48.661285
3225000000,-58.08926,-64.364754
3228000000,-58.156788,-81.286072
3231000000,-58.206451,-97.076912
3234000000,-58.203419,-114.2259
3237000000,-57.969616,-128.97197
3240000000,-58.204323,-146.46281
3243000000,-58.60635,-160.95506
3246000000,-58.574627,-175.62233
3249000000,-58.249493,167.53777
3252000000,-58.157166,152.14813
3255000000,-58.379631,136.91385
3258000000,-58.545578,119.43047
3261000000,-58.589951,104.75052
3264000000,-58.612297,89.361961
3267000000,-58.550747,75.375298
3270000000,-58.385921,61.310566
3273000000,-58.222588,45.435474
3276000000,-58.043282,28.171495
3279000000,-57.948967,10.520634
3282000000,-58.20306,-4.9512553
3285000000,-58.043583,-22.072817
3288000000,-58.183739,-35.043034
3291000000,-58.103062,-52.178257
3294000000,-57.880192,-68.803658
3297000000,-58.234314,-83.667366
3300000000,-58.334682,-99.962952
3303000000,-58.206219,-115.17341
3306000000,-58.056103,-132.50726
3309000000,-58.127701,-148.22255
3312000000,-58.143471,-164.96915
3315000000,-58.244316,-179.27129
3318000000,-58.066456,165.8653
3321000000,-58.006844,149.81387
3324000000,-57.776333,133.24184
3327000000,-57.740181,115.91259
3330000000,-58.060822,100.70118
3333000000,-58.095238,84.876091
3336000000,-57.906712,68.780685
3339000000,-57.978783,52.273857
3342000000,-57.817993,35.931717
3345000000,-57.595417,21.035437
3348000000,-57.971401,2.6671367
3351000000,-58.017971,-12.808207
3354000000,-58.030857,-27.889799
3357000000,-58.249264,-42.956223
3360000000,-58.350304,-59.518227
3363000000,-58.420155,-74.876831
3366000000,-58.324181,-92.238953
3369000000,-58.36734,-107.94958
3372000000,-58.5994,-122.23145
3375000000,-58.468407,-138.92238
3378000000,-58.517723,-151.98639
3381000000,-58.231693,-167.95589
3384000000,-58.398811,175.25145
3387000000,-58.20219,159.718
3390000000,-58.407379,143.19096
3393000000,-58.410042,128.83672
3396000000,-58.591003,111.19546
3399000000,-58.666241,98.991051
3402000000,-58.495003,84.257179
3405000000,-58.169617,68.716827
3408000000,-58.076134,51.936283
3411000000,-58.033627,35.669418
3414000000,-58.011845,20.465473
3417000000,-57.91246,4.2526426
3420000000,-57.862392,-10.916366
3423000000,-57.789612,-26.469318
3426000000,-57.559856,-44.387066
3429000000,-57.560493,-61.266052
3432000000,-57.540291,-76.734901
3435000000,-57.504581,-92.745079
3438000000,-57.500996,-109.3057
3441000000,-57.801594,-125.02517
3444000000,-57.787857,-140.68019
3447000000,-57.689564,-156.85736
3450000000,-57.818611,-172.57201
3453000000,-57.718906,171.12987
3456000000,-57.457359,155.78963
3459000000,-57.464401,138.79973
3462000000,-57.607544,120.6558
3465000000,-57.943722,105.14458
3468000000,-58.102707,90.78759
3471000000,-58.366325,76.668579
3474000000,-58.197266,60.964474
3477000000,-57.822701,46.115341
3480000000,-57.919693,27.880108
3483000000,-57.642525,13.258865
3486000000,-57.947083,-2.9710939
3489000000,-57.971329,-17.124687
3492000000,-57.896416,-33.07896
3495000000,-57.666237,-48.484787
3498000000,-57.65406,-65.983185
3501000000,-57.633617,-82.345047
3504000000,-57.979099,-96.799995
3507000000,-57.640411,-113.89677
3510000000,-57.809452,-129.65228
3513000000,-57.545273,-143.87259
3516000000,-57.470844,-161.18147
3519000000,-57.617977,-176.47215
3522000000,-57.602573,167.43518
3525000000,-57.739052,152.45328
3528000000,-57.875885,136.19466
3531000000,-57.749359,120.70049
3534000000,-57.754658,106.18045
3537000000,-57.503944,90.65831
3540000000,-57.376259,75.017853
3543000000,-57.173992,58.06971
3546000000,-57.112389,42.639412
3549000000,-56.930691,26.092915
3552000000,-57.005802,9.2062798
3555000000,-56.896156,-6.8725896
3558000000,-56.932659,-23.881409
3561000000,-56.90406,-39.486431
3564000000,-56.981701,-56.999744
3567000000,-57.000221,-72.727615
3570000000,-57.148186,-89.577438
3573000000,-56.787209,-105.27226
3576000000,-57.053226,-122.69936
3579000000,-57.310883,-137.94583
3582000000,-57.333668,-154.23152
3585000000,-57.454376,-169.6396
3588000000,-57.481598,177.00734
3591000000,-57.657238,160.35034
3594000000,-57.483643,143.74249
3597000000,-57.612671,126.18349
3600000000,-57.698471,111.8512
3603000000,-57.919777,96.219681
3606000000,-57.891281,81.525032
3609000000,-57.918133,66.161301
3612000000,-57.984016,52.275799
3615000000,-57.844166,36.969788
3618000000,-57.76786,22.160154
3621000000,-57.36562,5.0949779
3624000000,-57.597321,-10.971264
3627000000,-57.430141,-26.302
3630000000,-57.579231,-42.310646
3633000000,-57.644958,-58.803368
3636000000,-57.593361,-71.735291
3639000000,-57.276428,-86.181618
3642000000,-57.230404,-102.4271
3645000000,-57.075508,-119.5363
3648000000,-57.050255,-135.9099
3651000000,-56.926971,-151.99342
3654000000,-56.990551,-167.82268
3657000000,-56.651062,177.3783
3660000000,-56.669754,160.12575
3663000000,-56.699249,142.87703
3666000000,-56.656815,126.26995
3669000000,-56.734585,110.15377
3672000000,-56.599846,94.249413
3675000000,-56.568615,78.417755
3678000000,-56.465622,62.05125
3681000000,-56.449348,44.5313
3684000000,-56.454697,27.718817
3687000000,-56.620338,11.779025
3690000000,-56.657288,-5.2971711
3693000000,-56.736324,-21.465101
3696000000,-56.878937,-36.632122
3699000000,-57.150414,-53.167545
3702000000,-57.178062,-69.000481
3705000000,-57.231979,-83.773254
3708000000,-57.126518,-98.335144
3711000000,-57.246037,-114.62296
3714000000,-57.359123,-129.06325
3717000000,-57.3032,-144.64302
3720000000,-57.072506,-161.12016
3723000000,-57.244137,-177.53999
3726000000,-57.184143,166.4873
3729000000,-57.264641,152.06261
3732000000,-57.210144,136.99802
3735000000,-57.344704,122.20583
3738000000,-57.13541,107.66499
3741000000,-56.881023,93.257393
3744000000,-56.550713,76.811394
3747000000,-56.455414,59.032711
3750000000,-56.406269,42.193634
3753000000,-56.525799,25.882608
3756000000,-56.459885,10.952621
3759000000,-56.352489,-5.9543176
3762000000,-56.082134,-21.492205
3765000000,-56.080616,-38.629288
3768000000,-56.26347,-55.837795
3771000000,-56.451042,-73.044594
3774000000,-56.315395,-87.38636
3777000000,-56.245445,-103.49052
3780000000,-56.142948,-120.08521
3783000000,-56.157295,-136.7467
3786000000,-56.201214,-154.43213
3789000000,-56.096161,-169.34807
3792000000,-56.205547,174.41049
3795000000,-56.283695,156.11214
3798000000,-56.600777,140.72511
3801000000,-56.593052,124.65438
3804000000,-56.833172,107.89426
3807000000,-56.81345,94.632248
3810000000,-56.815678,79.060364
3813000000,-56.787216,63.667793
3816000000,-56.977085,47.178684
3819000000,-57.022312,32.115658
3822000000,-56.719154,16.473576
3825000000,-56.647976,-0.13370609
3828000000,-56.995899,-14.352471
3831000000,-56.865871,-30.05744
3834000000,-56.840317,-46.02541
3837000000,-56.892071,-61.601772
3840000000,-56.934441,-77.442276
3843000000,-56.842796,-93.461479
3846000000,-56.76091,-107.74512
3849000000,-56.446194,-124.29746
3852000000,-56.339409,-141.79353
3855000000,-56.397705,-158.31273
3858000000,-56.592365,-172.45096
3861000000,-56.605251,171.71608
3864000000,-56.49334,154.57962
3867000000,-56.331272,138.63161
3870000000,-56.327168,121.71453
3873000000,-56.237133,106.11308
3876000000,-56.177963,90.722878
3879000000,-56.194965,73.691658
3882000000,-56.134815,57.686001
3885000000,-56.266266,41.049572
3888000000,-56.37048,23.240118
3891000000,-56.501949,8.2762032
3894000000,-56.49707,-7.826807
3897000000,-56.414375,-22.748554
3900000000,-56.229588,-38.580154
3903000000,-56.498245,-56.498924
3906000000,-56.467571,-71.766434
3909000000,-56.701118,-88.481903
3912000000,-56.578678,-103.73613
3915000000,-57.048855,-118.40813
3918000000,-56.828838,-132.91312
3921000000,-56.766479,-148.45186
3924000000,-56.673107,-165.82344
3927000000,-56.567993,177.28307
3930000000,-56.733448,160.88083
3933000000,-56.764156,145.67595
3936000000,-56.982254,130.0444
3939000000,-57.006916,115.84961
3942000000,-57.091988,101.39183
3945000000,-56.854465,85.663292
3948000000,-56.820576,69.455551
3951000000,-56.591316,52.981312
3954000000,-56.697578,38.429745
3957000000,-56.540871,22.586473
3960000000,-56.706528,6.1485591
3963000000,-56.459709,-9.0912991
3966000000,-56.218376,-24.538893
3969000000,-56.167225,-41.686668
3972000000,-55.916622,-58.191601
3975000000,-56.045345,-74.089241
3978000000,-55.936779,-91.1866
3981000000,-55.996948,-108.76385
3984000000,-56.336472,-124.0129
3987000000,-56.397701,-139.92111
3990000000,-56.132771,-155.1581
3993000000,-56.098007,-171.37189
3996000000,-56.2351,172.60558
3999000000,-56.10498,156.75568
4002000000,-56.060024,141.09285
4005000000,-55.996513,124.60247
4008000000,-55.912632,106.29615
4011000000,-56.166687,91.080582
4014000000,-55.911247,75.001083
4017000000,-56.184593,58.048332
4020000000,-56.019531,42.840992
4023000000,-55.993,26.350639
4026000000,-56.030247,10.096419
4029000000,-56.056744,-7.1441693
4032000000,-56.415215,-24.040241
4035000000,-56.284252,-39.220863
4038000000,-56.399593,-55.060303
4041000000,-56.4776,-70.125946
4044000000,-56.582016,-85.36248
4047000000,-56.711742,-102.67247
4050000000,-56.514858,-117.08969
4053000000,-56.514317,-133.05905
4056000000,-56.648918,-149.51399
4059000000,-56.336777,-165.35109
4062000000,-56.557537,178.4164
4065000000,-56.759247,163.21571
4068000000,-56.955009,146.78796
4071000000,-56.966454,132.3007
4074000000,-57.038841,116.59998
4077000000,-56.711788,101.70535
4080000000,-56.581913,83.668755
4083000000,-56.640541,69.193817
4086000000,-56.613331,51.729206
4089000000,-56.739113,36.687122
4092000000,-56.682899,19.579811
4095000000,-56.529602,3.7847614
4098000000,-56.498001,-11.505452
4101000000,-56.436066,-27.092541
4104000000,-56.399178,-44.350582
4107000000,-56.579269,-61.071125
4110000000,-57.090168,-78.56485
4113000000,-57.009056,-92.108505
4116000000,-56.914024,-105.57849
4119000000,-56.780102,-122.69048
4122000000,-56.691788,-139.38969
4125000000,-56.49181,-156.14201
4128000000,-56.761028,-172.27716
4131000000,-57.001244,171.3295
4134000000,-57.124447,156.41075
4137000000,-56.806564,139.84186
4140000000,-57.033077,123.91943
4143000000,-57.031815,108.14883
4146000000,-57.079773,91.510757
4149000000,-56.887074,76.06472
4152000000,-56.959938,59.66951
4155000000,-57.301098,44.543243
4158000000,-57.331512,26.560091
4161000000,-57.603954,13.86692
4164000000,-57.463032,-2.8753092
4167000000,-57.440472,-15.367526
4170000000,-57.399162,-31.480551
4173000000,-57.297878,-46.653168
4176000000,-57.185703,-63.516026
4179000000,-57.180485,-78.90477
4182000000,-57.068111,-95.903633
4185000000,-57.00745,-110.97359
4188000000,-57.020573,-126.9771
4191000000,-56.921974,-143.79706
4194000000,-57.109367,-158.73068
4197000000,-56.950188,-174.87141
4200000000,-57.075809,169.12129
4203000000,-56.841713,153.16684
4206000000,-56.83889,136.98863
4209000000,-56.671234,120.05917
4212000000,-56.636993,104.14906
4215000000,-56.672546,87.774734
4218000000,-56.574165,70.658951
4221000000,-56.878891,55.07436
4224000000,-56.931587,36.38427
4227000000,-57.226601,21.804047
4230000000,-57.106441,5.1045117
4233000000,-57.283825,-10.498896
4236000000,-56.980656,-26.134226
4239000000,-57.451344,-42.22472
4242000000,-57.286236,-58.221367
4245000000,-57.451126,-72.175194
4248000000,-57.327942,-87.946129
4251000000,-57.359188,-102.57746
4254000000,-57.316734,-120.03309
4257000000,-57.280735,-137.47087
4260000000,-57.309338,-153.20763
4263000000,-57.525101,-169.46455
4266000000,-57.679802,175.94273
4269000000,-57.738819,162.15436
4272000000,-57.83054,146.16988
4275000000,-57.548626,129.02374
4278000000,-57.744991,114.12173
4281000000,-57.847401,98.33757
4284000000,-57.897205,82.262413
4287000000,-57.817291,65.593155
4290000000,-57.478909,51.896664
4293000000,-57.752972,36.84996
4296000000,-57.636223,19.700872
4299000000,-57.636486,4.7102346
4302000000,-57.485455,-10.935737
4305000000,-57.491875,-26.003429
4308000000,-57.356983,-41.504059
4311000000,-57.345886,-58.85844
4314000000,-57.430771,-75.387238
4317000000,-57.110626,-89.005112
4320000000,-57.464436,-103.60186
4323000000,-57.017986,-121.02048
4326000000,-56.895752,-139.46681
4329000000,-57.045715,-155.40515
4332000000,-57.116886,-171.6813
4335000000,-57.254826,171.99745
4338000000,-57.205124,157.14494
4341000000,-57.123112,139.92514
4344000000,-57.062775,126.01457
4347000000,-57.197777,108.76785
4350000000,-57.249355,91.670937
4353000000,-57.13681,74.148865
4356000000,-57.175465,58.257484
4359000000,-57.247772,43.648277
4362000000,-57.476574,27.660055
4365000000,-57.674812,12.857661
4368000000,-57.62009,-4.5263095
4371000000,-57.90271,-18.6504
4374000000,-57.701759,-34.149323
4377000000,-57.584026,-49.205345
4380000000,-57.583656,-65.08371
4383000000,-57.41991,-81.967888
4386000000,-57.493519,-97.991615
4389000000,-57.73661,-113.11463
4392000000,-57.554802,-128.17018
4395000000,-57.476471,-144.78317
4398000000,-57.710476,-159.75154
4401000000,-57.613392,-174.79904
4404000000,-57.557304,168.37029
4407000000,-57.643322,153.08379
4410000000,-57.397617,136.88739
4413000000,-57.390682,120.73344
4416000000,-57.290806,104.65766
4419000000,-57.55402,89.014946
4422000000,-57.392872,73.957077
4425000000,-57.596542,59.145874
4428000000,-57.159447,41.270168
4431000000,-57.213013,25.959507
4434000000,-57.113277,9.5984297
4437000000,-57.043983,-6.3206401
4440000000,-57.146915,-23.689854
4443000000,-57.035477,-38.790569
4446000000,-57.169914,-54.604626
4449000000,-57.073391,-70.319855
4452000000,-56.914356,-87.623482
4455000000,-56.909935,-103.78657
4458000000,-56.901394,-119.22601
4461000000,-56.829529,-136.4299
4464000000,-57.013569,-153.03946
4467000000,-56.816216,-169.94859
4470000000,-56.933121,174.6813
4473000000,-57.112247,157.21071
4476000000,-57.038177,141.57918
4479000000,-57.19582,125.66653
4482000000,-57.363937,109.43492
4485000000,-57.36129,94.341217
4488000000,-57.374046,80.077812
4491000000,-57.410408,63.715931
4494000000,-57.301548,45.423302
4497000000,-57.29771,28.803082
4500000000,-57.452309,14.15088
4503000000,-57.662964,-2.6674361
4506000000,-57.701893,-17.766817
4509000000,-57.770851,-33.084404
4512000000,-57.691021,-47.97187
4515000000,-57.665005,-64.49868
4518000000,-57.789845,-80.172981
4521000000,-57.85796,-95.798294
4524000000,-57.974361,-110.75338
4527000000,-57.670059,-127.35105
4530000000,-57.943844,-141.36429
4533000000,-57.595581,-156.43552
4536000000,-57.473289,-174.40703
4539000000,-57.549538,170.68614
4542000000,-57.450466,154.18665
4545000000,-57.392349,138.7023
4548000000,-57.431824,122.663
4551000000,-57.138756,106.45397
4554000000,-57.111717,88.436813
4557000000,-57.310936,72.120293
4560000000,-57.57209,54.71447
4563000000,-57.521984,40.443531
4566000000,-57.604149,25.237446
4569000000,-57.561047,9.8442907
4572000000,-57.39814,-7.2863998
4575000000,-57.193062,-23.433346
4578000000,-57.486725,-39.004745
4581000000,-57.399235,-55.336529
4584000000,-57.602104,-74.26944
4587000000,-57.759926,-88.946465
4590000000,-57.95219,-104.03636
4593000000,-57.788593,-119.05793
4596000000,-57.526825,-134.40688
4599000000,-57.671516,-151.96536
4602000000,-57.815662,-166.1649
4605000000,-57.787769,175.17802
4608000000,-57.936081,160.60274
4611000000,-58.122952,143.87694
4614000000,-58.158623,129.09036
4617000000,-57.92057,112.91744
4620000000,-58.281239,98.048363
4623000000,-57.927082,82.513367
4626000000,-57.714169,66.855644
4629000000,-57.813942,49.567055
4632000000,-57.804478,33.373932
4635000000,-57.83448,16.421137
4638000000,-58.347389,0.33672175
4641000000,-58.216602,-14.435659
4644000000,-58.454262,-30.996311
4647000000,-58.352966,-45.323898
4650000000,-58.071438,-62.548386
4653000000,-58.287857,-76.986473
4656000000,-58.127018,-92.399918
4659000000,-58.028744,-107.41449
4662000000,-58.177734,-124.52641
4665000000,-58.218414,-141.13113
4668000000,-58.134388,-158.10378
4671000000,-58.268509,-173.41148
4674000000,-58.463245,172.96257
4677000000,-58.020016,156.53059
4680000000,-58.366711,140.78201
4683000000,-58.143742,123.4082
4686000000,-58.060146,107.98844
4689000000,-58.059727,92.962807
4692000000,-58.072079,77.370728
4695000000,-58.010559,59.359127
4698000000,-57.969738,42.883575
4701000000,-58.044769,28.33058
4704000000,-58.227077,12.429762
4707000000,-58.011654,-4.481461
4710000000,-58.229076,-19.909637
4713000000,-58.223198,-36.859318
4716000000,-58.784271,-53.128609
4719000000,-58.301342,-68.003845
4722000000,-58.407497,-83.734344
4725000000,-58.385529,-98.347061
4728000000,-58.382717,-115.91983
4731000000,-58.422295,-129.48372
4734000000,-58.616459,-146.31595
4737000000,-58.26244,-162.20346
4740000000,-58.588318,-176.9178
4743000000,-58.329041,167.74706
4746000000,-58.405739,149.86052
4749000000,-58.365284,134.13747
4752000000,-58.078304,119.48136
4755000000,-58.316113,101.98756
4758000000,-58.114937,85.506142
4761000000,-58.486671,69.817574
4764000000,-58.322727,53.148113
4767000000,-58.230995,38.385799
4770000000,-58.564327,21.138842
4773000000,-58.763405,5.3637466
4776000000,-58.75853,-9.8442135
