!CSV A.01.01
!Keysight Technologies,N5227B,US58420762,A.13.80.08
!Date: Monday, November 20, 2023 15:26:48
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
3000000000,-59.718945,75.044601
3003000000,-59.769672,56.850193
3006000000,-59.658203,40.034039
3009000000,-59.489319,20.715002
3012000000,-59.392879,2.3856554
3015000000,-59.41769,-16.588596
3018000000,-59.273861,-35.961353
3021000000,-59.659874,-53.615406
3024000000,-59.426365,-70.772224
3027000000,-59.604351,-89.28067
3030000000,-59.447857,-106.45862
3033000000,-59.680099,-124.81149
3036000000,-59.375973,-142.82149
3039000000,-59.446701,-159.40468
3042000000,-59.237629,-179.21483
3045000000,-59.462082,161.504
3048000000,-59.531898,143.21274
3051000000,-59.300682,126.32758
3054000000,-59.380772,106.49915
3057000000,-59.448704,90.613663
3060000000,-59.52005,71.131439
3063000000,-59.557865,53.159492
3066000000,-59.428478,36.499722
3069000000,-59.639519,18.421106
3072000000,-59.421009,1.5196087
3075000000,-59.272259,-16.516365
3078000000,-59.166859,-34.68018
3081000000,-58.919506,-54.633743
3084000000,-58.846699,-73.78875
3087000000,-59.082855,-92.544006
3090000000,-59.096714,-110.603
3093000000,-59.118088,-128.50694
3096000000,-59.274895,-146.55066
3099000000,-59.495991,-165.1779
3102000000,-59.526054,177.90582
3105000000,-59.618908,161.77632
3108000000,-59.498428,141.98677
3111000000,-59.338299,124.92404
3114000000,-59.27602,107.67159
3117000000,-59.415695,88.926613
3120000000,-59.448586,71.637993
3123000000,-59.495388,53.401478
3126000000,-59.39711,35.878212
3129000000,-59.27029,18.89097
3132000000,-59.257999,-0.020754306
3135000000,-59.163567,-19.542822
3138000000,-59.002216,-37.104759
3141000000,-59.071762,-55.579212
3144000000,-59.004833,-74.204117
3147000000,-59.143597,-91.894066
3150000000,-59.22044,-111.4517
3153000000,-59.090588,-128.052
3156000000,-59.258766,-145.83701
3159000000,-59.318401,-165.59775
3162000000,-59.310329,177.11758
3165000000,-59.304447,159.98239
3168000000,-59.242928,142.87834
3171000000,-59.192226,124.43826
3174000000,-59.420776,106.83002
3177000000,-59.270653,89.032463
3180000000,-59.333481,69.921165
3183000000,-59.043434,53.340199
