!CSV A.01.01
!Keysight Technologies,N5227B,US58420762,A.13.80.08
!Date: Monday, November 20, 2023 15:54:07
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
3000000000,-59.992729,61.988945
3003000000,-60.211708,43.717865
3006000000,-59.981911,27.846785
3009000000,-59.95013,9.3310347
3012000000,-59.686329,-9.5817928
3015000000,-59.694576,-28.1726
3018000000,-59.656406,-47.516323
3021000000,-59.742447,-65.610786
3024000000,-59.991352,-84.020248
3027000000,-59.801052,-101.60643
3030000000,-59.67585,-119.24721
3033000000,-59.669613,-137.30493
3036000000,-59.793221,-155.98064
3039000000,-59.567417,-173.05006
3042000000,-59.605854,168.35033
3045000000,-59.600029,149.72136
3048000000,-59.405075,131.72488
3051000000,-59.490086,113.25449
3054000000,-59.517338,94.291077
3057000000,-59.556751,75.409843
3060000000,-59.568726,56.461784
3063000000,-59.755066,38.887009
3066000000,-59.604992,21.976152
3069000000,-59.756813,3.895952
3072000000,-59.613991,-13.504178
3075000000,-59.58596,-30.733789
3078000000,-59.388111,-49.047413
3081000000,-59.487591,-68.8479
3084000000,-59.315269,-86.862457
3087000000,-59.582058,-105.91902
3090000000,-59.461693,-125.48048
3093000000,-59.617218,-142.29904
3096000000,-59.643593,-159.93768
3099000000,-59.71056,-178.8109
3102000000,-59.83984,163.80838
3105000000,-59.812443,146.43895
3108000000,-59.750381,129.60374
3111000000,-59.859219,112.93735
3114000000,-59.55294,93.494781
3117000000,-59.591606,73.38829
3120000000,-59.606304,57.355106
3123000000,-59.861073,39.20229
3126000000,-59.805645,21.939142
3129000000,-59.70118,4.6058245
3132000000,-59.723793,-13.242368
3135000000,-59.602608,-31.946054
3138000000,-59.536507,-51.029106
3141000000,-59.396336,-67.762833
3144000000,-59.284878,-86.430595
3147000000,-59.399441,-106.43222
3150000000,-59.477104,-122.75127
3153000000,-59.470329,-141.61786
3156000000,-59.334881,-158.76845
3159000000,-59.499908,-178.14433
3162000000,-59.631142,163.95738
3165000000,-59.498886,145.69977
3168000000,-59.474747,128.71188
3171000000,-59.612144,109.8653
3174000000,-59.622169,92.90876
3177000000,-59.412392,75.882996
3180000000,-59.625607,56.00703
3183000000,-59.370338,38.898922
3186000000,-59.406048,21.086168
3189000000,-59.512997,3.034471
3192000000,-59.51461,-13.600087
3195000000,-59.512711,-32.836826
3198000000,-59.402588,-50.4902
3201000000,-59.068817,-67.229675
3204000000,-58.957981,-86.701035
3207000000,-59.162209,-106.3799
3210000000,-59.194782,-124.03949
3213000000,-59.241211,-143.29735
3216000000,-59.247032,-159.39262
3219000000,-59.208057,-176.77441
3222000000,-59.268673,164.83694
3225000000,-59.062195,146.08455
3228000000,-59.383862,128.16966
3231000000,-58.888931,111.41835
3234000000,-58.917747,92.962173
3237000000,-58.956005,74.11364
3240000000,-58.997898,56.680786
3243000000,-58.785606,38.516621
3246000000,-58.917278,18.953447
3249000000,-59.04562,1.1995977
3252000000,-58.96933,-17.499609
3255000000,-58.891651,-34.274284
3258000000,-58.801517,-53.892044
3261000000,-58.991894,-72.864365
3264000000,-58.838074,-89.217468
3267000000,-58.96447,-107.99517
3270000000,-58.944592,-126.74673
3273000000,-58.875198,-143.63573
3276000000,-58.837929,-163.6554
3279000000,-59.161781,178.23993
3282000000,-59.095463,159.51558
3285000000,-59.301456,143.36836
3288000000,-59.19685,126.61356
3291000000,-59.066952,109.2122
3294000000,-59.191177,90.42363
3297000000,-59.084511,71.203468
3300000000,-58.980118,51.910366
3303000000,-59.077663,34.862366
3306000000,-59.102036,16.983597
3309000000,-58.915932,-0.91942286
3312000000,-59.243462,-19.927151
3315000000,-59.153316,-35.693382
3318000000,-59.169144,-53.668652
