!CSV A.01.01
!Keysight Technologies,N5227B,US58420762,A.13.80.08
!Date: Tuesday, November 21, 2023 09:42:17
!Source: Standard

BEGIN CH1_DATA
Time(s),S21(DB),S21(DEG)
5e-009,-114.94223,138.69307
5.015e-009,-115.27212,161.03922
5.03e-009,-115.715,-176.66382
5.045e-009,-116.27679,-154.4425
5.06e-009,-116.9659,-132.33141
5.075e-009,-117.7935,-110.3684
5.09e-009,-118.77525,-88.603363
5.105e-009,-119.93156,-67.10054
5.12e-009,-121.2923,-45.950165
5.135e-009,-122.8992,-25.28454
5.15e-009,-124.81583,-5.318532
5.165e-009,-127.14436,13.570036
5.18e-009,-130.06264,30.58762
5.195e-009,-133.91508,43.622772
5.21e-009,-139.30923,44.792713
5.225e-009,-143.71667,6.15308
5.24e-009,-139.53204,-24.283083
5.255e-009,-135.68655,-22.495302
5.27e-009,-133.11865,-13.157526
5.285e-009,-131.18419,-1.9291062
5.3e-009,-129.52271,9.9817352
5.315e-009,-127.95028,22.546309
5.33e-009,-126.39669,36.064384
5.345e-009,-124.8615,50.798294
5.36e-009,-123.3736,66.841492
5.375e-009,-121.9651,84.12674
5.39e-009,-120.66006,102.50613
5.405e-009,-119.4727,121.80724
5.42e-009,-118.40955,141.87325
5.435e-009,-117.47255,162.56845
5.45e-009,-116.6609,-176.21977
5.465e-009,-115.97314,-154.57794
5.48e-009,-115.40801,-132.57208
5.495e-009,-114.96465,-110.25257
5.51e-009,-114.644,-87.655731
5.525e-009,-114.4483,-64.806419
5.54e-009,-114.38203,-41.714943
5.555e-009,-114.45261,-18.38139
5.57e-009,-114.67111,5.2107596
5.585e-009,-115.05347,29.099253
5.6e-009,-115.62336,53.355549
5.615e-009,-116.41502,78.105957
5.63e-009,-117.47987,103.58614
5.645e-009,-118.89576,130.25043
5.66e-009,-120.78239,159.08527
5.675e-009,-123.29328,-167.50807
5.69e-009,-126.33338,-123.25311
5.705e-009,-127.79967,-60.443317
5.72e-009,-125.25011,-1.2187421
5.735e-009,-121.8731,39.894119
5.75e-009,-119.11613,72.046112
5.765e-009,-116.9489,100.38455
5.78e-009,-115.21891,126.8706
5.795e-009,-113.81579,152.33301
5.81e-009,-112.66729,177.16708
5.825e-009,-111.72517,-158.41875
5.84e-009,-110.95648,-134.30698
5.855e-009,-110.33834,-110.4277
5.87e-009,-109.85432,-86.74147
5.885e-009,-109.49252,-63.224339
5.9e-009,-109.24421,-39.865528
5.915e-009,-109.10352,-16.661993
5.93e-009,-109.06615,6.3806634
5.945e-009,-109.12918,29.252184
5.96e-009,-109.29115,51.934387
5.975e-009,-109.5514,74.403374
5.99e-009,-109.90993,96.625343
6.005e-009,-110.36705,118.56104
6.02e-009,-110.92333,140.15668
6.035e-009,-111.5785,161.34866
6.05e-009,-112.33121,-177.94017
6.065e-009,-113.17772,-157.80132
6.08e-009,-114.10981,-138.33289
6.095e-009,-115.11366,-119.63131
6.11e-009,-116.1682,-101.7657
6.125e-009,-117.24545,-84.737961
6.14e-009,-118.31542,-68.433449
6.155e-009,-119.35812,-52.584854
6.17e-009,-120.38036,-36.775124
6.185e-009,-121.43116,-20.509964
6.2e-009,-122.61426,-3.2832909
6.215e-009,-124.10098,15.430579
6.23e-009,-126.17913,36.460716
6.245e-009,-129.41731,62.193745
6.26e-009,-135.02831,105.23899
6.275e-009,-135.99957,-152.9572
6.29e-009,-128.68073,-99.390564
6.305e-009,-123.92495,-69.521576
6.32e-009,-120.5885,-44.208065
6.335e-009,-118.03874,-20.264914
6.35e-009,-115.99719,3.1782427
6.365e-009,-114.3205,26.438793
6.38e-009,-112.92641,49.646183
6.395e-009,-111.76402,72.859558
6.41e-009,-110.80006,96.105659
6.425e-009,-110.01246,119.39587
6.44e-009,-109.38656,142.73428
6.455e-009,-108.91314,166.12093
6.47e-009,-108.58731,-170.44577
6.485e-009,-108.4081,-146.968
6.5e-009,-108.37807,-123.44817
6.515e-009,-108.50402,-99.888123
6.53e-009,-108.79752,-76.28891
6.545e-009,-109.27661,-52.650002
6.56e-009,-109.96866,-28.968346
6.575e-009,-110.91515,-5.2368698
6.59e-009,-112.18192,18.56147
6.605e-009,-113.88018,42.464283
6.62e-009,-116.21828,66.564453
6.635e-009,-119.6637,91.150948
6.65e-009,-125.69394,117.69497
6.665e-009,-145.52354,-128.83199
6.68e-009,-125.79193,-26.836046
6.695e-009,-120.14266,-0.47859845
6.71e-009,-117.05702,23.914295
6.725e-009,-115.12193,47.73
6.74e-009,-113.90823,71.208382
6.755e-009,-113.24886,94.370041
6.77e-009,-113.0904,117.12527
6.785e-009,-113.45622,139.2404
6.8e-009,-114.45672,160.17725
6.815e-009,-116.35026,178.49277
6.83e-009,-119.67188,-170.89404
6.845e-009,-123.92272,169.54591
6.86e-009,-120.06601,132.67262
6.875e-009,-114.4306,136.45313
6.89e-009,-110.42007,152.93456
6.905e-009,-107.41471,173.19658
6.92e-009,-105.04384,-164.98351
6.935e-009,-103.11824,-142.37111
6.95e-009,-101.53385,-119.29416
6.965e-009,-100.23055,-95.912323
6.98e-009,-99.173538,-72.308937
6.995e-009,-98.345108,-48.526512
7.01e-009,-97.740791,-24.581942
7.025e-009,-97.369003,-0.47014844
7.04e-009,-97.253395,23.839048
7.055e-009,-97.439278,48.414555
7.07e-009,-98.008469,73.402748
7.085e-009,-99.113678,99.136787
7.1e-009,-101.07103,126.52183
7.115e-009,-104.66217,159.01782
7.13e-009,-111.53511,-137.72183
7.145e-009,-106.64379,-26.959625
7.16e-009,-99.434929,14.843718
7.175e-009,-94.781265,44.283134
7.19e-009,-91.297478,70.836929
7.205e-009,-88.468155,96.301422
7.22e-009,-86.060623,121.24321
7.235e-009,-83.951035,145.89577
7.25e-009,-82.065674,170.37248
7.265e-009,-80.357018,-165.2652
7.28e-009,-78.79258,-140.98111
7.295e-009,-77.349098,-116.75267
7.31e-009,-76.009308,-92.565071
7.325e-009,-74.760017,-68.408249
7.34e-009,-73.590897,-44.27512
7.355e-009,-72.493683,-20.160583
7.37e-009,-71.461647,3.9391294
7.385e-009,-70.48925,28.026833
7.4e-009,-69.571854,52.104706
7.415e-009,-68.705536,76.174408
7.43e-009,-67.886955,100.23726
7.445e-009,-67.113228,124.29431
7.46e-009,-66.381851,148.34637
7.475e-009,-65.690651,172.39417
7.49e-009,-65.03772,-163.56178
7.505e-009,-64.421364,-139.52097
7.52e-009,-63.840096,-115.48305
7.535e-009,-63.292587,-91.447678
7.55e-009,-62.777657,-67.414558
7.565e-009,-62.294243,-43.383453
7.58e-009,-61.841415,-19.354137
7.595e-009,-61.418316,4.6735759
7.61e-009,-61.024197,28.699884
7.625e-009,-60.658379,52.724949
7.64e-009,-60.320255,76.748947
7.655e-009,-60.009281,100.77204
7.67e-009,-59.724991,124.79439
7.685e-009,-59.466946,148.81618
7.7e-009,-59.234776,172.83759
7.715e-009,-59.02816,-163.14122
7.73e-009,-58.846817,-139.11998
7.745e-009,-58.69051,-115.09853
7.76e-009,-58.559036,-91.076584
7.775e-009,-58.452248,-67.053871
7.79e-009,-58.370026,-43.030094
7.805e-009,-58.312283,-19.0049
7.82e-009,-58.27898,5.0220981
7.835e-009,-58.270115,29.051325
7.85e-009,-58.285709,53.08329
7.865e-009,-58.325836,77.11853
7.88e-009,-58.390598,101.15769
7.895e-009,-58.480145,125.20149
7.91e-009,-58.594654,149.25075
7.925e-009,-58.734356,173.30641
7.94e-009,-58.899521,-162.63046
7.955e-009,-59.090462,-138.55862
7.97e-009,-59.307552,-114.47668
7.985e-009,-59.551208,-90.382988
8e-009,-59.821899,-66.275658
8.015e-009,-60.120171,-42.152512
8.03e-009,-60.446617,-18.011019
8.045e-009,-60.801922,6.1517839
8.06e-009,-61.186825,30.339367
8.075e-009,-61.602177,54.55579
8.09e-009,-62.048901,78.80584
