!CSV A.01.01
!Keysight Technologies,N5227B,US58420762,A.13.80.08
!Date: Tuesday, November 21, 2023 09:34:22
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
3000000000,-57.01899,111.1188
3003000000,-56.919147,99.761864
3006000000,-56.927982,87.907921
3009000000,-56.816284,75.96788
3012000000,-56.764267,63.625042
3015000000,-56.72591,52.468098
3018000000,-56.904606,41.941433
3021000000,-56.987206,29.543772
3024000000,-56.966187,18.196861
3027000000,-57.002365,7.1363373
3030000000,-57.039639,-3.9476552
3033000000,-57.117825,-14.312454
3036000000,-57.099644,-25.475847
3039000000,-57.096016,-36.553898
3042000000,-56.791027,-47.610603
3045000000,-56.762356,-61.081528
3048000000,-56.839294,-73.164078
3051000000,-57.00312,-83.750809
3054000000,-57.154381,-94.419952
3057000000,-57.12397,-105.25815
3060000000,-57.272869,-115.80616
3063000000,-57.298954,-126.90163
3066000000,-57.081402,-138.44366
3069000000,-57.222988,-150.36807
3072000000,-57.021042,-161.23245
3075000000,-57.184139,-172.3436
3078000000,-57.245087,176.84941
3081000000,-57.196106,165.3726
3084000000,-56.850143,154.82501
3087000000,-57.069176,142.79712
3090000000,-56.965382,129.14679
3093000000,-57.104103,118.27635
3096000000,-57.197281,107.93737
3099000000,-57.271008,97.244209
3102000000,-57.363777,87.724998
3105000000,-57.167725,76.204063
3108000000,-56.865925,65.180931
3111000000,-56.683254,53.799294
3114000000,-56.809395,40.15937
3117000000,-56.835518,28.359615
3120000000,-56.884716,16.450369
3123000000,-56.968586,5.1984496
3126000000,-57.110432,-6.9134307
3129000000,-57.32576,-18.101276
3132000000,-57.43372,-28.115776
3135000000,-57.40247,-39.816246
3138000000,-57.557243,-48.282166
3141000000,-57.367886,-58.631805
3144000000,-57.192883,-68.531151
3147000000,-56.840675,-80.805511
3150000000,-56.736984,-94.618233
3153000000,-56.628487,-108.32667
3156000000,-56.962074,-121.86866
3159000000,-57.429634,-134.38803
3162000000,-57.819393,-144.1516
3165000000,-58.066154,-152.41077
3168000000,-58.298832,-161.92848
3171000000,-58.059269,-171.78392
3174000000,-57.844627,178.59195
3177000000,-57.542408,168.93347
3180000000,-57.266148,157.27016
3183000000,-56.991528,144.7446
3186000000,-56.883942,131.15417
3189000000,-56.996632,118.07392
3192000000,-57.381863,105.41851
3195000000,-57.503494,94.188873
3198000000,-57.783321,83.69577
3201000000,-57.773922,74.422852
3204000000,-57.808308,64.719757
3207000000,-57.726994,53.80772
3210000000,-57.694672,42.30212
3213000000,-57.662495,31.719282
3216000000,-57.298145,20.006645
3219000000,-57.36451,7.9934072
3222000000,-57.456001,-2.9529486
3225000000,-57.356007,-15.662382
3228000000,-57.488457,-27.17322
3231000000,-57.609936,-37.5173
3234000000,-57.728359,-47.526669
3237000000,-57.690601,-58.729607
3240000000,-57.693497,-69.788277
3243000000,-57.553207,-81.007202
3246000000,-57.630814,-92.235275
3249000000,-57.468342,-103.89126
3252000000,-57.430851,-116.73583
3255000000,-57.586781,-128.9588
3258000000,-57.451794,-139.67342
3261000000,-57.673656,-151.30046
3264000000,-57.861401,-163.91779
3267000000,-57.94799,-173.73428
3270000000,-58.088123,176.21532
3273000000,-58.207119,166.29274
3276000000,-57.893913,153.93924
3279000000,-57.688061,143.30963
3282000000,-57.61253,134.22078
3285000000,-57.870472,121.42951
3288000000,-57.715885,109.69971
3291000000,-57.64204,97.057098
3294000000,-57.86388,84.98642
3297000000,-57.99678,74.776108
