!CSV A.01.01
!Keysight Technologies,N5227B,US58420762,A.13.80.08
!Date: Tuesday, November 21, 2023 09:49:10
!Source: Standard

BEGIN CH1_DATA
Time(s),S21(DB),S21(DEG)
5e-009,-119.44489,157.28096
5.015e-009,-119.7105,-175.20871
5.03e-009,-119.98437,-147.31416
5.045e-009,-120.2554,-119.01427
5.06e-009,-120.51043,-90.307213
5.075e-009,-120.73536,-61.217716
5.09e-009,-120.91655,-31.798824
5.105e-009,-121.04271,-2.1353521
5.12e-009,-121.10652,27.662397
5.135e-009,-121.10697,57.47271
5.15e-009,-121.04853,87.174332
5.165e-009,-120.94158,116.66917
5.18e-009,-120.79965,145.883
5.195e-009,-120.63815,174.77838
5.21e-009,-120.47198,-156.65562
5.225e-009,-120.31487,-128.40431
5.24e-009,-120.17896,-100.43501
5.255e-009,-120.07359,-72.705444
5.27e-009,-120.00691,-45.162891
5.285e-009,-119.98471,-17.753674
5.3e-009,-120.01205,9.5839453
5.315e-009,-120.09174,36.912983
5.33e-009,-120.22638,64.301277
5.345e-009,-120.41645,91.823875
5.36e-009,-120.661,119.56345
5.375e-009,-120.95664,147.60875
5.39e-009,-121.29665,176.06372
5.405e-009,-121.66951,-154.96916
5.42e-009,-122.05703,-125.38239
5.435e-009,-122.43276,-95.097145
5.45e-009,-122.7616,-64.078796
5.465e-009,-123.00243,-32.390923
5.48e-009,-123.11462,-0.21447402
5.495e-009,-123.07069,32.143505
5.51e-009,-122.86416,64.314377
5.525e-009,-122.5134,95.950645
5.54e-009,-122.05376,126.80663
5.555e-009,-121.52637,156.76508
5.57e-009,-120.96893,-174.19005
5.585e-009,-120.41115,-146.00145
5.6e-009,-119.87387,-118.58661
5.615e-009,-119.37057,-91.851364
5.63e-009,-118.90921,-65.709747
5.645e-009,-118.49376,-40.086727
5.66e-009,-118.12552,-14.918613
5.675e-009,-117.80413,9.8487101
5.69e-009,-117.52775,34.255093
5.705e-009,-117.29394,58.3381
5.72e-009,-117.09969,82.12484
5.735e-009,-116.94135,105.64175
5.75e-009,-116.81522,128.90959
5.765e-009,-116.71709,151.95007
5.78e-009,-116.64285,174.7858
5.795e-009,-116.58805,-162.56271
5.81e-009,-116.54835,-140.06973
5.825e-009,-116.51982,-117.70744
5.84e-009,-116.49861,-95.444458
5.855e-009,-116.48139,-73.246979
5.87e-009,-116.46548,-51.078804
5.885e-009,-116.44891,-28.901136
5.9e-009,-116.43056,-6.6732492
5.915e-009,-116.40997,15.642571
5.93e-009,-116.38743,38.083538
5.945e-009,-116.36398,60.685383
5.96e-009,-116.34061,83.478622
5.975e-009,-116.31897,106.48985
5.99e-009,-116.30035,129.74133
6.005e-009,-116.28606,153.2513
6.02e-009,-116.27682,177.03287
6.035e-009,-116.27323,-158.90558
6.05e-009,-116.27501,-134.55833
6.065e-009,-116.28139,-109.92524
6.08e-009,-116.29096,-85.011513
6.095e-009,-116.3021,-59.825321
6.11e-009,-116.31234,-34.382252
6.125e-009,-116.31947,-8.7017174
6.14e-009,-116.32088,17.191616
6.155e-009,-116.31446,43.267387
6.17e-009,-116.2985,69.489586
6.185e-009,-116.27202,95.821663
6.2e-009,-116.23483,122.22192
6.215e-009,-116.18767,148.65303
6.23e-009,-116.13234,175.07542
6.245e-009,-116.07128,-158.54396
6.26e-009,-116.00763,-132.23537
6.275e-009,-115.94489,-106.02189
6.29e-009,-115.88703,-79.922104
6.305e-009,-115.83763,-53.948273
6.32e-009,-115.80046,-28.107187
6.335e-009,-115.77878,-2.401067
6.35e-009,-115.77567,23.171347
6.365e-009,-115.79366,48.615879
6.38e-009,-115.83489,73.939613
6.395e-009,-115.90089,99.15329
6.41e-009,-115.99294,124.26972
6.425e-009,-116.1117,149.30359
6.44e-009,-116.25748,174.27139
6.455e-009,-116.43002,-160.8085
6.47e-009,-116.62852,-135.91379
6.485e-009,-116.85182,-111.02042
6.5e-009,-117.09802,-86.10289
6.515e-009,-117.36464,-61.130318
6.53e-009,-117.64819,-36.070148
6.545e-009,-117.94462,-10.88718
6.56e-009,-118.24841,14.457716
6.575e-009,-118.55294,40.001785
6.59e-009,-118.85017,65.780846
6.605e-009,-119.13046,91.827431
6.62e-009,-119.38274,118.16372
6.635e-009,-119.59526,144.79463
6.65e-009,-119.75539,171.70667
6.665e-009,-119.85168,-161.13835
6.68e-009,-119.875,-133.80167
6.695e-009,-119.81992,-106.36484
6.71e-009,-119.686,-78.921989
6.725e-009,-119.47723,-51.563416
6.74e-009,-119.20268,-24.369246
6.755e-009,-118.87409,2.6022277
6.77e-009,-118.50527,29.311979
6.785e-009,-118.10949,55.746262
6.8e-009,-117.69975,81.906815
6.815e-009,-117.28745,107.80939
6.83e-009,-116.88214,133.47768
6.845e-009,-116.49193,158.93837
6.86e-009,-116.12312,-175.77847
6.875e-009,-115.78101,-150.64488
6.89e-009,-115.46976,-125.63371
6.905e-009,-115.1925,-100.72007
6.92e-009,-114.95206,-75.880058
6.935e-009,-114.75026,-51.093647
6.95e-009,-114.58898,-26.339869
6.965e-009,-114.46957,-1.6014084
6.98e-009,-114.39317,23.139631
6.995e-009,-114.36084,47.900223
7.01e-009,-114.37334,72.698036
